id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,fv,mkt,sector
307,1990,3.893,1.376,.198,-.197,7.489,3.9638751,.60500002,.197,1.4312549,1.337,1
307,1991,4.034,.751,.529,.072,5.688,3.3787501,.412,.19400001,1.0490208,1.053,1
307,1992,4.023,.731,.425,.194,6.527,2.4777501,.43099999,.252,.80207556,1.171,1
307,1993,4.077,.274,.509,.214,6.388,15.1275,.29100001,.292,3.6844494,1.217,1
307,1994,4.953,.295,.443,-.013,6.911,8.3971252,.30700001,.30199999,1.6376187,1.283,1
307,1995,5.037,.279,.5590000000000001,.277,7.447,4.3839998,.23100001,.082000002,.76732183,1.726,1
307,1996,5.354,.287,.51,.603,7.922,6.6989999,.45199999,.104,1.1628689,1.488,1
307,1997,5.811,.223,.695,-.137,8.678000000000001,6.1490002,.49200001,.134,.92806745,1.648,1
307,1998,6.556,.163,.902,.704,10.207,11.90025,.56,.16,1.6243517,1.745,1
307,1999,7.357,.201,1.807,1.502,14.629,9.8132496,.31,.39300001,.97611117,2.273,1
307,2000,7.427,.125,1.92,1.4,15.089,7.7790623,.294,.44299999,.63310391,2.612,1
307,2001,9.59,1.038,1.713,1.602,15.883,8.8140001,.32699999,.26899999,.69395202,3.2190001,1
307,2002,10.225,.858,2.16,1.343,19.439,16.2675,.37200001,.44600001,1.3022494,3.125,1
307,2003,12.867,2.28,1.505,1.99,20.478,11.80004,.37799999,.55500001,.74423254,3.687,1
307,2004,13.756,2.306,1.306,2.051,19.272,9.7027502,.391,.46399999,.49009523,3.5090001,1
307,2005,13.256,1.856,.991,.678,19.563,12.025,.405,.45899999,.7259354,3.8169999,1
307,2006,22.105,8.167999999999999,1.275,.648,22.445,11.4232,.56699997,.35699999,.73626781,3.9490001,1
308,1990,3.256,.002,-3.171,-3.208,.24,52.299999,.57599998,.98699999,15.380836,1.6,1
308,1991,9.228,0,-3.579,-4.389,12.355,9.083375,.72899997,1.3380001,.2425634,3.085,1
308,1992,7.945,0,-1.375,-.802,16.188,29.9345,.428,.71499997,3.0320327,2.8210001,1
